SLU Score,Opponent Score,Set,Opponent,Year,Server,Play Comment,,
16,17,1,Vassar,2014,VASSAR,[Marie Pitre] Attack error by Cristina Deschaine (block by Clara Cardillo; Sophia Tiajoloff).,,
16,18,1,Vassar,2014,VASSAR,[Marie Pitre] Attack error by Rebecca Doser.,,
17,18,1,Vassar,2014,VASSAR,[Marie Pitre] Service error.,,
18,18,1,Vassar,2014,SLU,[Mariah Dignan] Kill by Maddy Ruehl (from Mariah Dignan).,,
18,19,1,Vassar,2014,SLU,[Mariah Dignan] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
19,19,1,Vassar,2014,VASSAR,[Taylor Mosley] Attack error by Gabby Miller.,,
20,19,1,Vassar,2014,SLU,[Maddy Ruehl] Attack error by Gabby Miller.,,
20,20,1,Vassar,2014,SLU,[Maddy Ruehl] Kill by Sophia Tiajoloff (from Sierra Tobin).,,
21,20,1,Vassar,2014,VASSAR,[Clara Cardillo] Kill by Rebecca Doser (from Katie Kull).,,
21,21,1,Vassar,2014,SLU,[Rebecca Doser] Ball handling error by Mariah Dignan.,,
22,21,1,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Marie Pitre.,,
22,22,1,Vassar,2014,SLU,[Masha Kolesnikova] Service error.,,
23,22,1,Vassar,2014,VASSAR,[Gabby Miller] Attack error by Taylor Mosley.,,
24,22,1,Vassar,2014,SLU,[Becky Briggs] Attack error by Marie Pitre.,,
24,23,1,Vassar,2014,SLU,[Becky Briggs] Service error.,,
24,24,1,Vassar,2014,VASSAR,[Chloe Hallum] Service ace (Rebecca Doser).,,
24,25,1,Vassar,2014,VASSAR,[Chloe Hallum] Service ace (Lexi Brown).,,
24,26,1,Vassar,2014,VASSAR,[Chloe Hallum] Attack error by Lexi Brown.,,
0,1,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Marie Pitre.,,
0,2,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Service ace (Lexi Brown).,,
1,2,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Service error.,,
2,2,2,Vassar,2014,SLU,[Marisa Turner] Kill by Lexi Brown (from Katie Kull).,,
2,3,2,Vassar,2014,SLU,[Marisa Turner] Service error.,,
3,3,2,Vassar,2014,VASSAR,[Gabby Miller] Service error.,,
4,3,2,Vassar,2014,SLU,[Masha Kolesnikova] Ball handling error by Sophia Tiajoloff.,,
5,3,2,Vassar,2014,SLU,[Masha Kolesnikova] Bad set by Sophia Tiajoloff.,,
5,4,2,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
6,4,2,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Cristina Deschaine (from Katie Kull).,,
6,5,2,Vassar,2014,SLU,[Katarina Marczeski] Service error.,,
6,6,2,Vassar,2014,VASSAR,[Marie Pitre] Service ace (Lexi Brown).,,
6,7,2,Vassar,2014,VASSAR,[Marie Pitre] Service ace (Mariah Dignan).,,
7,7,2,Vassar,2014,VASSAR,[Marie Pitre] Kill by Cristina Deschaine (from Katarina Marczeski).,,
7,8,2,Vassar,2014,SLU,[Katie Rowell] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
8,8,2,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Cristina Deschaine (from Katarina Marczeski).,,
9,8,2,Vassar,2014,SLU,[Mariah Dignan] Kill by Masha Kolesnikova.,,
9,9,2,Vassar,2014,SLU,[Mariah Dignan] Kill by Gabby Miller (from Sophia Tiajoloff).,,
9,10,2,Vassar,2014,VASSAR,[Clara Cardillo] Kill by Gabby Miller.,,
10,10,2,Vassar,2014,VASSAR,[Clara Cardillo] Attack error by Taylor Mosley.,,
10,11,2,Vassar,2014,SLU,[Becky Briggs] Attack error by Masha Kolesnikova.,,
10,12,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Rebecca Doser (block by Alex Sams; Marie Pitre).,,
10,13,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Amanda Brooks (block by Gabby Miller; Alex Sams).,,
10,14,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Service ace (Mariah Dignan).,,
11,14,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Rebecca Doser (from Katie Kull).,,
11,15,2,Vassar,2014,SLU,[Marisa Turner] Kill by Gabby Miller (from Sophia Tiajoloff).,,
12,15,2,Vassar,2014,VASSAR,[Gabby Miller] Kill by Masha Kolesnikova (from Katie Kull).,,
12,16,2,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
12,17,2,Vassar,2014,VASSAR,[Chloe Hallum] Attack error by Cristina Deschaine.,,
13,17,2,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Mariah Dignan.,,
13,18,2,Vassar,2014,SLU,[Katarina Marczeski] Kill by Marie Pitre (from Sophia Tiajoloff).,,
14,18,2,Vassar,2014,VASSAR,[Marie Pitre] Service error.,,
14,19,2,Vassar,2014,SLU,[Katie Rowell] Kill by Sophia Tiajoloff (from Clara Cardillo).,,
14,20,2,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
15,20,2,Vassar,2014,VASSAR,[Taylor Mosley] Attack error by Gabby Miller.,,
15,21,2,Vassar,2014,SLU,[Mariah Dignan] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
16,21,2,Vassar,2014,VASSAR,[Clara Cardillo] Kill by Masha Kolesnikova (from Katarina Marczeski).,,
17,21,2,Vassar,2014,SLU,[Becky Briggs] Kill by Masha Kolesnikova (from Katarina Marczeski).,,
17,22,2,Vassar,2014,SLU,[Becky Briggs] Ball handling error by Rebecca Doser.,,
17,23,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Marie Pitre (from Sophia Tiajoloff).,,
18,23,2,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Mariah Dignan (from Katie Kull).,,
19,23,2,Vassar,2014,SLU,[Rebecca Doser] Kill by Masha Kolesnikova (from Katie Kull).,,
19,24,2,Vassar,2014,SLU,[Rebecca Doser] Kill by Marie Pitre (from Sophia Tiajoloff).,,
20,24,2,Vassar,2014,VASSAR,[Gabby Miller] Service error.,,
20,25,2,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Alex Sams (from Sophia Tiajoloff).,,
0,1,3,Vassar,2014,SLU,[Katarina Marczeski] Kill by Alex Sams (from Sophia Tiajoloff).,,
0,2,3,Vassar,2014,VASSAR,[Sophia Tiajoloff] Service ace (Mariah Dignan).,,
1,2,3,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Marie Pitre.,,
2,2,3,Vassar,2014,SLU,[Katie Rowell] Attack error by Marie Pitre (block by Cristina Deschaine; Becky Briggs).,,
3,2,3,Vassar,2014,SLU,[Katie Rowell] Attack error by Gabby Miller.,,
3,3,3,Vassar,2014,SLU,[Katie Rowell] Kill by Marie Pitre (from Sophia Tiajoloff).,,
4,3,3,Vassar,2014,VASSAR,[Gabby Miller] Kill by Cristina Deschaine (from Katarina Marczeski).,,
4,4,3,Vassar,2014,SLU,[Mariah Dignan] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
5,4,3,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Becky Briggs (from Katarina Marczeski).,,
5,5,3,Vassar,2014,SLU,[Becky Briggs] Kill by Gabby Miller (from Sophia Tiajoloff).,,
5,6,3,Vassar,2014,VASSAR,[Alex Sams] Attack error by Masha Kolesnikova.,,
6,6,3,Vassar,2014,VASSAR,[Marie Pitre] Kill by Rebecca Doser (from Mariah Dignan).,,
6,7,3,Vassar,2014,SLU,[Rebecca Doser] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
6,8,3,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Clara Cardillo.,,
6,9,3,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
6,10,3,Vassar,2014,VASSAR,[Taylor Mosley] Service ace (Rachel Pineda).,,
7,10,3,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Lexi Brown (from Katie Kull).,,
7,11,3,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
8,11,3,Vassar,2014,VASSAR,[Clara Cardillo] Kill by Mariah Dignan (from Katie Kull).,,
9,11,3,Vassar,2014,SLU,[Katarina Marczeski] Kill by Cristina Deschaine.,,
9,12,3,Vassar,2014,SLU,[Katarina Marczeski] Attack error by Cristina Deschaine.,,
10,12,3,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Lexi Brown.,,
11,12,3,Vassar,2014,SLU,[Katie Rowell] Attack error by Alex Sams.,,
12,12,3,Vassar,2014,SLU,[Katie Rowell] Kill by Rebecca Doser.,,
12,13,3,Vassar,2014,SLU,[Katie Rowell] Attack error by Cristina Deschaine (block by Gabby Miller; Alex Sams).,,
12,14,3,Vassar,2014,VASSAR,[Gabby Miller] Kill by Marie Pitre.,,
13,14,3,Vassar,2014,VASSAR,[Gabby Miller] Kill by Mariah Dignan (from Katarina Marczeski).,,
14,14,3,Vassar,2014,SLU,[Mariah Dignan] Attack error by Taylor Mosley (block by Masha Kolesnikova; Becky Briggs).,,
15,14,3,Vassar,2014,SLU,[Mariah Dignan] Kill by Becky Briggs (from Katarina Marczeski).,,
15,15,3,Vassar,2014,SLU,[Mariah Dignan] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
16,15,3,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Becky Briggs (from Katarina Marczeski).,,
17,15,3,Vassar,2014,SLU,[Becky Briggs] Attack error by Taylor Mosley.,,
17,16,3,Vassar,2014,SLU,[Becky Briggs] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
18,16,3,Vassar,2014,VASSAR,[Marie Pitre] Service error.,,
18,17,3,Vassar,2014,SLU,[Rebecca Doser] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
19,17,3,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Lexi Brown (from Katie Kull).,,
19,18,3,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Gabby Miller (from Sophia Tiajoloff).,,
19,19,3,Vassar,2014,VASSAR,[Clara Cardillo] Attack error by Cristina Deschaine.,,
19,20,3,Vassar,2014,VASSAR,[Clara Cardillo] Attack error by Lexi Brown (block by Alex Sams; Sophia Tiajoloff).,,
19,21,3,Vassar,2014,VASSAR,[Clara Cardillo] Attack error by Cristina Deschaine.,,
20,21,3,Vassar,2014,VASSAR,[Clara Cardillo] Kill by Lexi Brown (from Katie Kull).,,
20,22,3,Vassar,2014,SLU,[Katarina Marczeski] Attack error by Becky Briggs (block by Alex Sams; Gabby Miller).,,
20,23,3,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Lexi Brown.,,
21,23,3,Vassar,2014,VASSAR,[Sophia Tiajoloff] Attack error by Marie Pitre.,,
21,24,3,Vassar,2014,SLU,[Lexi Brown] Bad set by Mariah Dignan.,,
22,24,3,Vassar,2014,VASSAR,[Gabby Miller] Ball handling error by Alex Sams.,,
23,24,3,Vassar,2014,SLU,[Mariah Dignan] Attack error by Marie Pitre.,,
23,25,3,Vassar,2014,SLU,[Mariah Dignan] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
0,1,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Service ace (Masha Kolesnikova).,,
1,1,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Cristina Deschaine (from Katie Kull).,,
2,1,1,RIT,2014,SLU,[Masha Kolesnikova] Attack error by Sarah  Szybist.,,
2,2,1,RIT,2014,SLU,[Masha Kolesnikova] Attack error by Lexi Brown.,,
3,2,1,RIT,2014,RIT_WV~1,[Abby Higgins] Service error.,,
3,3,1,RIT,2014,SLU,[Cristina Deschaine] Kill by Sarah  Szybist (from Laiz Novaes).,,
3,4,1,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Sarah  Szybist (from Laiz Novaes).,,
3,5,1,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Sarah  Szybist (from Laiz Novaes).,,
4,5,1,RIT,2014,RIT_WV~1,[Laiz Novaes] Service error.,,
4,6,1,RIT,2014,SLU,[Katarina Marczeski] Service error.,,
5,6,1,RIT,2014,RIT_WV~1,[Sarah  Szybist] Kill by Becky Briggs (from Katarina Marczeski).,,
5,7,1,RIT,2014,SLU,[Katie Rowell] Attack error by Becky Briggs (block by Kayla Wheeler).,,
6,7,1,RIT,2014,RIT_WV~1,[Bethany Davis] Kill by Becky Briggs (from Katarina Marczeski).,,
6,8,1,RIT,2014,SLU,[Mariah Dignan] Attack error by Maddy Ruehl (block by Abby Higgins; Sarah  Szybist).,,
7,8,1,RIT,2014,RIT_WV~1,[Rebecca Bennett] Kill by Cristina Deschaine (from Katarina Marczeski).,,
7,9,1,RIT,2014,SLU,[Maddy Ruehl] Kill by Amy Van Hienen (from Laiz Novaes).,,
7,10,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Sarah  Szybist.,,
8,10,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Amanda Brooks (from Mariah Dignan).,,
8,11,1,RIT,2014,SLU,[Masha Kolesnikova] Kill by Abby Higgins (from Laiz Novaes).,,
8,12,1,RIT,2014,RIT_WV~1,[Abby Higgins] Service ace (Rachel Pineda).,,
8,13,1,RIT,2014,RIT_WV~1,[Abby Higgins] Attack error by Cristina Deschaine.,,
